ID VALUE SCORE
36050802 427487.319 0.634
16168982 407.317 0.183
63723033 1244.319 0.172
91348521 75019.684 0.187
31903635 54987.633 0.582
43902099 57652.879 0.683
42975665 326354.69 0.526
76096760 155406.969 0.312
31720879 65209.097 0.509
28033200 133300.83 0.567
40846452 126921.383 0.833
92960658 464138.934 0.453
12319044 40486.17 0.165
45953933 694978.383 0.375
98155473 50337.873 0.773
59793527 271575.677 0.808
39103429 106412.109 0.246
77315545 232242.302 0.777
52683634 96959.978 0.389
61700979 52055.874 0.769
38663439 479199.258 0.502
81105034 65575.305 0.414
49910896 224149.765 0.807
50847803 51217.242 0.432
62737055 156485.267 0.717
83821652 726315.406 0.014
18899505 264708.75 0.498
92601760 75623.406 0.937
20622399 117650.023 0.105
71899243 20964.672 0.723
49035792 106565.158 0.783
64997867 322409.875 0.341
84951883 298635.708 0.249
41609867 15484.148 0.597
53547295 100847.789 0.68
97653102 64121.11 0.314
80721693 58995.134 0.186
79145363 164307.241 0.392
49664647 270289.647 0.198
86111162 165051.898 0.969
90554628 17465.749 0.801
69292880 94905.421 0.371
69458754 95139.616 0.783
2524806 11673.816 0.737
37795703 94485.186 0.537
13866046 80921.331 0.689
75535728 400191.853 0.748
90467738 311065.987 0.052
98115835 609412.669 0.363
64498396 23479.835 0.172
93900655 505655.341 0.218
84653546 263842.39 0.184
27998255 284740.762 0.857
58568344 4062.228 0.371
25650474 148714.291 0.429
57792700 655428.882 0.786
84084648 28136.081 0.474
99367261 12596.928 0.295
28269971 268539.557 0.16
50208583 710979.567 0.965
46019316 504028.818 0.348
2521332 33379.028 0.143
34501716 345447.994 0.972
93528381 180687.772 0.631
12540496 49570.449 0.51
55421274 594004.74 0.971
80535857 187396.581 0.843
26354230 350801.889 0.093
85091591 61176.239 0.931
3991891 400777.154 0.095
62182935 285997.284 0.069
15206793 528951.285 0.387
35061356 218790.424 0.988
4937779 130289.474 0.981
6185445 83164.545 0.566
3896819 81180.832 0.565
34339343 8435.398 0.318
78067206 590885.945 0.023
28267407 646618.73 0.645
18343414 59294.435 0.399
34887660 70484.755 0.37
51785920 496159.771 0.576
59206649 379699.235 0.836
84830728 231353.219 0.318
48625416 319994.002 0.072
42996659 250752.063 0.074
20662903 142407.63 0.643
7149684 119941.216 0.438
72978747 228204.992 0.719
11269167 916162.004 0.694
72451148 184670.808 0.322
47988611 285446.688 0.336
34506315 145054.43 0.972
94860707 301241.713 0.495
38890700 620753.445 0.031
72780693 163005.289 0.12
66140898 70108.92 0.77
36679868 37426.255 0.362
38368091 583729.378 0.014
52076971 18244.086 0.35
