ID VALUE SCORE
36769757 712.287 0.532
16842698 453179.28 0.521
33731303 169300.596 0.192
73282708 34061.204 0.652
13105459 56474.095 0.039
15677042 881988.729 0.753
36387714 204112.302 0.47
63509828 100966.452 0.971
26991623 573999.254 0.472
43403220 187748.073 0.232
37667554 415999.937 0.163
25155836 113572.288 0.235
57188424 179860.143 0.032
36257096 112523.182 0.361
3899722 36591.75 0.262
78095619 700765.329 0.507
99479000 804642.993 0.641
43084817 446848.659 0.891
47190544 37875.104 0.666
25890022 361871.871 0.287
77196632 175140.001 0.695
56765767 108566.507 0.114
93778878 81482.998 0.525
75590162 50740.04 0.154
22082018 16140.207 0.259
25603024 93709.212 0.619
71690375 89301.948 0.96
8071834 139131.249 0.317
38702670 25367.397 0.879
3848296 70366.356 0.93
45510945 527778.603 0.259
47105903 900910.322 0.055
98893996 367707.525 0.644
40609263 521243.163 0.313
35165923 267659.279 0.679
6391500 67992.733 0.598
66462485 537090.657 0.283
62281304 171387.12 0.535
76122157 373374.651 0.885
68103232 324568.904 0.689
58342652 492570.432 0.485
13987545 67293.95 0.621
33359320 1549.933 0.725
51884510 26500.884 0.384
83568999 64573.629 0.53
16830427 76751.598 0.307
59540749 364349.754 0.688
26405852 82382.535 0.137
41989260 728861.075 0.982
983885 620975.536 0.167
62516438 244453.599 0.918
14598186 166794.737 0.394
19205182 97500.294 0.254
45286129 378960.222 0.583
53950316 53077.954 0.249
53560769 293478.438 0.974
18948986 9047.956 0.84
96397780 62417.772 0.758
10489874 132868.506 0.587
37792916 587937.615 0.934
13991336 218076.521 0.922
65932285 70150.041 0.55
37631764 120699.69 0.538
49796344 398995.101 0.353
83117155 15852.066 0.907
71170097 448078.558 0.226
35322967 461036.127 0.7
24196023 399139.124 0.783
46210571 156242.876 0.026
43770022 95479.871 0.246
42949984 124735.425 0.272
57235008 289037.379 0.936
73597216 70404.498 0.37
25558499 795259.821 0.884
4472401 313101.452 0.809
44380736 70998.304 0.457
58448074 226278.68 0.38
77935063 171768.045 0.501
2574022 156068.668 0.805
55437537 383516.237 0.519
19276799 328892.865 0.816
24848481 842404.832 0.73
32160975 77001.463 0.82
76365273 30996.781 0.263
70525217 377593.267 0.416
73882352 66918.735 0.109
86429804 723708.913 0.114
