ID VALUE SCORE
52005998 886081.09939 0.00958
43388783 162780.99219 0.02922
90731203 227239.31885 0.03472
90805212 61697.12635 0.08118
4663526 20857.41373 0.10391
54029676 198225.52459 0.10469
61046317 284335.04264 0.11704
54673391 21249.49097 0.13403
63625245 8770.8075 0.13486
97074269 56803.70317 0.14053
68786841 344077.93978 0.14574
17983407 253786.29661 0.20947
34945100 672808.16734 0.22006
51854629 326611.21619 0.24508
33995266 567539.96105 0.26621
37480704 493762.21532 0.26807
66791412 479948.66093 0.30906
18829372 169722.54692 0.35836
38827099 87493.96791 0.37081
71517198 555781.21817 0.39007
80239956 395116.71679 0.39331
19990067 314463.32928 0.43045
642700 144322.77563 0.45832
94817438 138832.63344 0.46168
35964370 46721.15235 0.49219
72339433 354501.72032 0.53332
31399882 303826.60992 0.53465
61823207 650504.43432 0.54787
35125973 136261.04296 0.57918
20960696 106411.23584 0.59933
66084421 169858.67587 0.62745
82273015 295432.44584 0.67741
89777440 404631.89162 0.69155
51898333 272896.71521 0.71715
83507764 249392.79803 0.72239
54793115 562233.35761 0.75249
25046147 465265.188 0.76625
43921913 25663.67279 0.77883
18296046 120802.78388 0.81217
80228907 33975.17781 0.8332
18020098 413694.46462 0.85297
12782806 53294.23044 0.8575
17255200 126192.60928 0.86527
41854646 340219.26654 0.87266
7323283 54272.76902 0.89915
93134986 465676.92669 0.9154
48817858 133682.21106 0.91996
87724368 399705.7533 0.93871
18271215 681076.00164 0.98271
63776953 2733.06511 0.99521
