ID VALUE SCORE
62765649 74579.33166 0.2936
76853716 248227.64371 0.69991
59442105 84965.17345 0.09723
40386783 496594.40869 0.46281
76852699 436485.64458 0.95412
61431400 111414.72919 0.05885
76668382 91046.32932 0.32026
36938899 345794.05679 0.11682
7445446 252688.08256 0.02984
41914187 99820.82543 0.66845
89592120 503156.58989 0.45728
80002784 92227.40154 0.69209
68126986 261862.77798 0.83929
36807323 134263.78138 0.10243
91607970 41960.0893 0.98913
53994439 249691.9909 0.73291
39893113 438641.6669 0.51021
21897660 229077.96965 0.49084
82868304 190052.67004 0.79608
18505375 252699.34919 0.54333
64213471 640607.71881 0.93546
59370822 111638.25732 0.28109
19897822 247964.56347 0.79111
40166424 217435.15317 0.74309
81016741 51659.01964 0.46977
85571369 349184.24268 0.40666
70926640 127493.99305 0.15793
94046422 399570.43504 0.06991
14421052 193839.61459 0.25483
98911143 271395.96253 0.45106
98319751 486477.45766 0.62749
62753234 97504.01233 0.17897
52492768 54964.90555 0.0139
19799576 634002.38125 0.63733
95946851 123820.9483 0.91537
41452997 80746.46539 0.1049
74482902 220415.5534 0.46562
13997236 15380.53732 0.61299
63136991 260888.26611 0.21131
52136849 100359.23816 0.7238
80109120 229188.9476 0.3362
73487102 132470.73863 0.35182
28964107 44334.08595 0.01519
28530158 315356.31339 0.59284
35278665 45695.62462 0.4367
93189215 47830.07595 0.52417
75958271 32677.1821 0.676
53352357 262209.16742 0.85354
850886 401853.2629 0.62532
97336940 452498.94774 0.67393
81782087 409974.67396 0.07265
90835229 321304.67382 0.94698
76018140 51377.86136 0.83273
23793992 123710.73391 0.35165
62782334 226380.19516 0.00951
35857971 114183.38713 0.15214
23768864 387686.43549 0.39461
42513662 273317.09618 0.76595
27918685 212896.66349 0.78385
54875486 239236.50221 0.6857
40607759 18730.96352 0.65497
58697822 287235.23279 0.33994
75475604 627864.2496 0.65276
86439455 6290.88767 0.80326
49222856 20123.40306 0.73668
71397421 13157.31151 0.19898
3360399 653869.1366 0.43561
13219796 286143.63309 0.89846
626491 107749.84887 0.17302
83014951 293994.79405 0.49929
50878666 16470.08898 0.38447
12201645 12795.38394 0.92316
71286440 223287.84083 0.59118
57620541 64827.13298 0.46629
40719828 72838.1565 0.82991
84113257 259142.42864 0.44954
20995800 593561.95491 0.15787
22177877 740214.23784 0.06587
90117135 89009.688 0.74523
79583764 18213.40095 0.57715
38292656 23778.93205 0.44167
67529251 656201.75586 0.75498
75772761 81030.47755 0.93463
38331284 163505.25015 0.34146
34986689 134079.20048 0.95427
45408773 246767.47192 0.6371
59990201 327147.53264 0.10664
67127522 574599.14474 0.63054
52398178 86509.1697 0.34583
53271483 376620.23633 0.36164
40327100 650470.94134 0.43971
2724990 23166.70419 0.90738
10745436 755927.21471 0.0651
1993198 5480.82989 0.08645
64891379 2930.36696 0.98194
61087929 289741.06501 0.17366
5197728 245063.66019 0.44674
62194083 163984.70543 0.9767
29921658 773339.27 0.77136
83071701 19561.35857 0.90741
83132960 536977.0297 0.28328
39597623 10296.74915 0.19014
14306499 678537.4769 0.50782
77910494 192938.87715 0.10156
18497473 52528.47456 0.80687
10694936 757326.94229 0.19596
80967865 317266.66799 0.12376
3082688 276208.62213 0.12647
38215019 337986.71256 0.43001
27957101 500796.52166 0.8542
9370553 91020.69937 0.90957
89897711 526302.46567 0.7815
7887215 36032.48493 0.40524
15867714 309836.07498 0.62216
64931539 174203.66239 0.66667
82903355 23928.25839 0.00851
15618616 82755.62793 0.09519
94479927 570019.17104 0.02171
82347357 640746.30155 0.99609
2894668 44151.24761 0.78151
78279414 37941.41782 0.59925
25051331 669842.9672 0.43055
52888597 231239.55066 0.96023
1403078 127168.11674 0.12029
30828594 186367.90471 0.43804
8746733 143520.724 0.97657
12279227 214358.77034 0.15342
48323197 938417.69515 0.31302
61729108 184204.22579 0.35281
58591996 399765.63451 0.20781
24877460 691437.81612 0.45106
93897257 318048.85624 0.65151
88198963 413607.06697 0.30309
77286566 174900.05215 0.34872
83195880 7754.19401 0.80369
92780030 210977.70979 0.56504
88592441 483716.58378 0.83523
94828941 39065.37741 0.41983
94389009 47647.38472 0.41085
18072197 13092.44931 0.83422
58343619 432436.85913 0.48465
34364470 292987.07926 0.49429
58565393 52119.1342 0.61365
3926589 75288.29069 0.63613
44548764 641052.83576 0.40796
70237407 39562.97308 0.07645
86805096 66935.35424 0.41255
43166392 7937.28983 0.3647
37962011 65801.40807 0.95262
34607525 98937.54446 0.74465
81352478 361212.26325 0.00385
72483284 138931.43343 0.82594
21528443 153859.76045 0.6874
89549795 3551.05921 0.74536
4676643 192965.90184 0.21001
62961493 40201.89167 0.87485
12052209 331040.64952 0.98474
69862017 50190.09774 0.8998
66897862 76233.17495 0.62262
58857073 785585.83238 0.25477
25094016 747532.78062 0.88672
58448880 599165.38447 0.37047
18933798 107207.47474 0.99062
46147623 720037.66243 0.49971
33732392 28242.40134 0.93412
10027421 745280.28206 0.87777
77278153 10315.76536 0.74413
45903359 132880.03021 0.89508
80417212 324924.94404 0.85057
57651671 787027.79587 0.93643
80869728 178650.88096 0.11596
19299412 281532.20019 0.3695
21503786 267788.69497 0.71479
98855370 726468.77688 0.52469
37198044 220674.30684 0.75039
72177573 51107.54082 0.10613
73744229 238168.19832 0.5203
55338742 290809.76173 0.1148
90264796 183486.38677 0.62249
75590064 57927.9288 0.19782
57417581 487435.54062 0.00274
31224879 246393.01511 0.39016
15580344 66380.90098 0.51919
87229532 9788.42395 0.81128
10593781 14111.838 0.63956
23725176 222953.85688 0.83034
33978443 131628.48205 0.32021
12078565 172525.94969 0.25257
4272718 167117.06611 0.08556
36641344 731228.12034 0.86355
5431063 199209.6246 0.15822
59402663 593658.67901 0.42209
49204568 67513.90911 0.13631
933709 51452.43127 0.26714
24591262 309833.0054 0.35721
23205922 260227.04378 0.78546
48385649 6584.51524 0.24437
49939462 134774.00225 0.13006
61391917 152588.5221 0.83504
43195318 133291.18435 0.34352
23461649 15586.3401 0.95625
60694980 183310.91203 0.26478
22518615 161532.95349 0.13504
95240407 295422.7387 0.51415
45638673 216722.24376 0.24398
82184552 16390.7746 0.74241
92928578 523202.74175 0.29288
42673108 30181.06984 0.2514
94428637 138838.17124 0.07511
99259104 274190.83017 0.83051
16192793 21310.11419 0.20249
60676446 775347.74414 0.79951
26715508 150228.98903 0.22981
52260220 222239.41331 0.865
87528138 2023.74614 0.24549
9810150 67157.79107 0.07542
89802381 931159.96405 0.93765
66922530 21380.35559 0.53982
72690741 732354.46432 0.06689
27063847 902884.40792 0.69953
27822554 23661.25916 0.00634
449749 1489.07595 0.28305
23478971 230551.12415 0.78313
61601886 270635.80289 0.81905
84562812 94636.08241 0.87331
1805628 1917.24452 0.67471
62205243 54263.84733 0.07753
25584302 2089.72876 0.68394
19633474 333363.3027 0.85088
17097875 81005.58113 0.29603
95027466 547836.10473 0.77988
19151943 626477.03308 0.06586
80488639 103848.69397 0.45111
84440033 168314.67147 0.9321
93845208 606513.7146 0.33075
12612000 54889.41265 0.99501
70462868 38089.14114 0.86618
20544173 170271.90015 0.01044
57521852 13094.43866 0.15275
53233879 20088.81582 0.11076
20749531 440093.77585 0.72324
39305492 35191.28593 0.30566
77517143 202663.34352 0.66852
99707949 302718.29309 0.17651
99224621 455587.20651 0.89
17266280 20830.30895 0.57429
41489533 329140.92245 0.62745
35137022 98135.72768 0.49683
82199911 35871.49569 0.58198
43489374 811742.47855 0.96743
9650652 104230.09984 0.28665
95567365 513772.9238 0.71659
57286128 247480.17066 0.41392
15624739 819180.93793 0.01872
95575854 368553.5742 0.74011
13417464 282914.41626 0.21868
63287965 630391.27922 0.88188
79704355 421587.07872 0.71271
15285690 184805.45575 0.88886
24107721 647306.21392 0.97393
79801371 87796.32126 0.22415
