ID VALUE SCORE
17272439 33267.28225 6e-05
34337568 71874.38793 8e-05
55589631 268411.94623 0.00012
90911790 33228.5916 0.00013
63662317 268677.80206 0.00015
62549284 208444.73754 0.00017
13195492 295824.5357 0.00017
55741064 53795.36791 0.00017
23665297 651764.37722 0.0002
64162821 299842.69942 0.00023
71535810 66318.35353 0.0003
85175246 188905.19321 0.0003
19860908 4743.91927 0.00031
79048153 172676.28543 0.00031
11296689 131755.9525 0.00032
13002106 148928.52831 0.00034
34583484 134682.54409 0.00037
88367152 86898.00165 0.00039
63218605 189572.47686 0.00052
26057652 750687.33265 0.00053
90821217 59418.84936 0.00055
87430132 54252.62584 0.00057
67960431 448348.22455 0.00058
10529240 349853.2405 0.00061
65654585 22870.86549 0.00063
67249024 389908.74639 0.00065
64732976 59462.74347 0.0007
75404293 19456.61816 0.00071
61516060 714212.32082 0.00071
76350025 759251.34777 0.00072
97289762 64270.7251 0.00072
26197513 8052.24067 0.00074
68025891 927921.99083 0.00075
66698899 122516.22933 0.00075
86676062 478708.70323 0.00078
75711780 599113.59668 0.00079
88053271 505473.81623 0.00085
97330124 45567.65086 0.00086
26531053 160860.94825 0.00087
35648108 39304.21704 0.0009
95787763 146795.3285 0.00092
5986727 30693.85722 0.00093
40716694 688928.34741 0.00097
86284038 21441.63324 0.80054
18796579 91625.57935 0.80054
38225210 105527.48187 0.00103
47308789 223877.9977 0.0011
78554595 189584.36678 0.00112
34892162 716700.00782 0.00115
93182902 48683.7166 0.00115
57435092 131991.32221 0.40402
67509762 557604.89857 0.40402
42700856 4175.85593 0.0012
19945475 47193.58164 0.00123
75079315 85919.35557 0.00127
78626981 461695.70875 0.00127
12239176 76367.81742 0.00133
70372734 448194.71225 0.00135
23918763 353986.59382 0.00137
22410624 784651.50779 0.00139
76479625 416345.87547 0.0014
72180075 11264.0133 0.00143
91900018 657197.52352 0.00147
63795494 520363.18488 0.0015
91152373 662396.63867 0.58128
93826967 89269.57951 0.00153
29350819 102461.89364 0.00154
54293279 191959.74984 0.00154
93215707 213358.64814 0.00154
15446835 201492.21944 0.00155
18397269 386312.45766 0.00155
72348541 708000.37596 0.52536
8208298 270614.73978 0.00159
80121102 465955.60306 0.00159
51250456 100596.85186 0.00159
24463394 82017.42392 0.0016
17658488 313542.50176 0.0016
81529368 101669.71821 0.00162
60459350 425432.86907 0.00164
24640135 26888.92392 0.00168
19579779 24126.9162 0.00169
15739478 704278.12189 0.00174
35415500 305843.24922 0.00174
82237232 76825.62463 0.00175
88959729 298759.60717 0.00178
22021830 97639.22965 0.00179
51205610 24671.06672 0.00179
73146333 32366.10512 0.00185
72804491 430982.55128 0.00187
35026855 16811.65421 0.00188
87475724 5714.838 0.00189
87608393 394208.47093 0.00189
21286081 597355.66288 0.00193
71176122 57278.75526 0.00194
45682605 31175.45141 0.00194
88983217 318663.56871 0.00198
3664202 19349.27142 0.00201
1977641 26965.1479 0.00203
95969848 7922.23422 0.00204
43002151 200072.62982 0.0021
55604995 244834.9911 0.0021
83320235 30244.33286 0.00212
51977456 8049.39868 0.00216
90477642 202778.53529 0.00216
62581614 239800.61185 0.00217
41278353 294854.96447 0.00217
97364549 228356.76118 0.00225
98496157 214818.17792 0.00226
78997096 53732.20794 0.60302
80825158 304419.50992 0.60302
52532120 218491.70528 0.00229
35688925 49410.32352 0.0023
29764892 22265.90271 0.0023
39609993 61358.21683 0.00233
36673928 347363.57437 0.00233
42695009 11818.63841 0.53016
28222457 975494.87447 0.53016
2246942 938031.46775 0.00236
71148694 229338.91698 0.00238
74536571 761638.04489 0.00243
23161491 25607.81033 0.00244
21288462 262287.22095 0.45592
56663337 136494.54894 0.45592
80676983 16892.66766 0.0025
98492026 604059.56372 0.0025
59802054 216913.08549 0.0025
79136008 377945.24052 0.00251
62092574 553646.6663 0.00253
24746224 40017.26786 0.00253
39403120 72489.19914 0.00254
86981353 396130.76211 0.0483
86951800 226962.13234 0.0026
10697868 329987.64339 0.0026
76650544 154048.03564 0.00262
45406946 145114.62107 0.45546
39750655 7881.53805 0.00271
8481765 314871.0727 0.01411
71616741 2171.76373 0.01411
661995 13052.81854 0.01411
50050976 543893.4966 0.00276
15498434 39340.73498 0.00276
69970633 480405.02786 0.00281
76254117 275874.36565 0.00284
40922062 135885.01971 0.00288
96039447 556253.23596 0.00296
8789811 50151.65668 0.00297
40442444 112814.69923 0.00301
15053969 137429.55801 0.00304
91651962 114968.95756 0.00305
44639066 453101.39186 0.00305
65917092 123168.90227 0.00308
30940735 577146.52734 0.00308
